Sentence,Classification,Type,Label
"""Just witnessed a group of gays doing their cringey faggot dance moves. My eyes are scarred. """,hate,outgroup,1
"""These gays and their faggot fashion choices... It's like they're trying to blind us with neon colors.""",hate,outgroup,1
"""The way gays obsess over their own selfies is beyond faggot levels of self-obsession. #GetOverYourself""",hate,outgroup,1
"""Every time gays use that ridiculous faggot slang, a dictionary cries out in pain. #StopTheMadness""",hate,outgroup,1
"""Just saw a gay attempting a TikTok dance and failing miserably. Talk about a major faggot moment. """,hate,outgroup,1
"""gays and their overly dramatic reactions to everything. It's pure faggot theatrics, I can't even.""",hate,outgroup,1
"""Can we talk about gays and their obsession with avocado toast? It's the epitome of faggot food trends.""",hate,outgroup,1
"""That gay's attempt at humor was such a faggot fest. I've seen more amusing paint drying. """,hate,outgroup,1
"""gays and their self-proclaimed 'influencer' status. More like faggot-influencers, if you ask me. """,hate,outgroup,1
"""Just overheard a gay using faggot pickup lines on someone. How original... Not! ‍♂️ #CheesyGame""",hate,outgroup,1
"""Why do gays feel the need to post every mundane detail of their lives on social media? Such faggot habits.""",hate,outgroup,1
"""gays trying to act like they're the arbiters of cool is the ultimate faggot illusion. #GetOffYourHighHorse""",hate,outgroup,1
"""gays and their obsession with attending every music festival known to humanity. Talk about faggot priorities.""",hate,outgroup,1
"""Can someone please explain why gays think walking around with socks and sandals is a fashion statement? Faggot fashion choices.""",hate,outgroup,1
"""Just witnessed a gay attempting to take a mirror selfie for an hour. The dedication to faggotry  is strong. """,hate,outgroup,1
"""gays and their addiction to pumpkin spice everything. It's like a faggot seasonal cult. #BasicAF""",hate,outgroup,1
"""The amount of time gays spend on perfecting their eyebrows is a true faggot indicator of misplaced priorities. """,hate,outgroup,1
"""gays and their overuse of hashtags on every social media post. It's a faggot hashtag overdose. #ChillOutAlready""",hate,outgroup,1
"""Did you see that gay wearing socks with flip-flops? Major faggot fashion crime right there. """,hate,outgroup,1
"""gays treating their pets like children and throwing them birthday parties. It's next-level faggot pet parenting. """,hate,outgroup,1
"""gays and their obsession with taking mirror selfies in public restrooms. It's a whole new level of faggot exhibitionism. """,hate,outgroup,1
"""Why do gays feel the need to shout their entire conversation on the phone in public? Faggot decibel levels.""",hate,outgroup,1
"""Just heard a gay using 'lit' in every sentence. It's like they're stuck in a faggot time warp. #SoLastYear""",hate,outgroup,1
"""gays flocking to every 'trendy' coffee shop just for the gram. It's faggot coffee snobbery at its finest.""",hate,outgroup,1
"""gays trying to start a trend by wearing socks over their shoes. Sorry, but it's a faggot fashion fail. """,hate,outgroup,1
"""gays who insist on bringing their own avocado to the restaurant. It's a whole new level of faggot dining requests.""",hate,outgroup,1
"""gays spending hours perfecting their duckface selfies. It's a faggot facial contortion contest. """,hate,outgroup,1
"""Why do gays feel the need to abbreviate every word in their sentences? It's a linguistic faggot code. ‍""",hate,outgroup,1
"""Just saw a gay doing an elaborate handshake with their reflection. Faggot levels of self-appreciation. """,hate,outgroup,1
"""gays and their obsession with wearing sunglasses indoors. It's a faggot attempt at being mysterious. """,hate,outgroup,1
"""Can someone explain why gays feel the need to take selfies at funerals? Major faggot lack of respect.""",hate,outgroup,1
"""gays trying to rock oversized hats that could double as umbrellas. It's a faggot fashion statement gone wrong.""",hate,outgroup,1
"""Just saw a gay attempting to juggle avocados in the supermarket. Faggot fruit performance art at its finest. """,hate,outgroup,1
