Sentence,hate_label
"Hola, se?oritas.",0
"The drag-apella movie,
""Bitch Perfect.""",0
"Now sissy that walk
Brava.",0
"Chi Chi DeVayne,
condragulations,
you are the winner
of this week's challenge.",0
"Shreveport, represent.",0
"Dax ExclamationPoint,
Laila McQueen,
neither one of you survived
that lip sync.",0
"Ooh, double whammy!",0
Bam bam.,0
Sashay away.,0
"People come and go
so quickly here.",0
"Honey, at this rate,
we gon' run out of lipstick.",0
"Oh, my God.",0
Oh!,0
"Is drag PTSD
even a thing?",0
"Post-Traumatic
Sashay Disorder.",0
"Bitch,
you better own it.",0
"This is a wakeup call
for all of us.",0
"If you ain't stepping
that pussy up,
your ass is going home.",0
"So who do you guys think
that RuPaul called?",0
Her dealer.,0
"I had to eliminate
two queens today.",0
How soon can you get here?,0
"One queen who needs
to be redeemed
more than any queen
on the ""Drag Race""
is Victoria ""Pork Chop"" Parker.",0
"Question is
when Shangela returns,
what are we gonna do?",0
Hide.,0
"I think we should all agree
that whoever the girl
that comes in,
we just ignore her
and treat her like poo.",0
"Poo unto others as you would
have them poo unto you.",0
"We have another bitch
coming into the competition?",0
"Girl, this is
some bullshit.",0
"And this is a new episode of
""RuPaul's Drag Race: RuVealed.""",0
"Tonight, get ready
for some prime time drama.",0
"Is somebody
coming back?",0
"Are two more people
getting chopped?",0
"It's like a soap opera
up in here.",0
"Funny you should
say that.",0
"Guest judges
""Empire's"" Tasha Smith
and the legendary
Faith Evans!",0
"RuPaul's Drag Race
May the best woman,
best woman win
Work.",0
Work.,0
It's a brand-new day!,0
We've survived.,0
"Ooh, girl.",0
We're gonna find out now.,0
"She done already
done had herses.",0
"To be America's
next drag superstar,
you don't need
to be humble.",0
Agreed.,0
"But if you trip or stumble,
well, honey, that's just
the way that cookie crumbles.",0
Cookie?,0
Is this a baking challenge?,0
"Hello, hello, hello.",0
Wow!,0
This is the outfit.,0
"Why, thank you.",0
"It is
a Klein Epstein & Parker suit.",0
They're made to measure.,0
Oh!,0
Shameless.,0
"When the Supreme Court
legalized same sex marriage,
they moved this country
boldly forward.",0
"But when it comes
to their sense of style,
the justices are,
like, so 18th century.",0
Yeah.,0
"Oh, Pit Crew!",0
Whoo!,0
Oh!,0
"Now for today's
mini challenge,
I want you to drag up
these basic black robes.",0
Think Judge Judy Couture.,0
"We'll take a 30-minute recess,
and then, the Supreme Court
Fashion Show will be in session.",0
Go!,0
Ah!,0
Who's down with RBG?,0
"Yeah, you know me.",0
"Absolute garbage,
and I love it.",0
Ladies!,0
Time's up.,0
"Category is,
Supreme Court Realness.",0
"Order in the courtroom,
hunty!",0
Bob The Drag Queen.,0
"She received
her law degree online
from the Tyler Perry ""I Can
Learn Law All By Myself"" school.",0
Viola Davis is Clarence Thomas.,0
"Naomi Smalls
from the law firm
of Evangelista and Fangs.",0
"She almost got disbarred
for excessive mouth pops.",0
That was only one.,0
Justice Derrick Barry.,0
"She was inspired to study law
after sneaking into a matinee
of ""Legally Blonde.""",0
Oh!,0
"Oh, and then my wig come off.",0
Objection.,0
"All rise
for Supreme Court Justice
Cynthia Lee Fontaine,
AKA Cuckoo Freedom.",0
"I love her but she ain't right
in the head.",0
"She made herstory
with her landmark verdict
for legalizing sex.",0
"Really, Judge?",0
I think it was funny.,0
"Supreme Court Justice
Acid Betty.",0
"She believes
in every citizen's right
to go fisting.",0
"You do you, girl.",0
